시도,시군구,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월
전남,담양,46871,46913,46900,46928,47009,46968,46982,47106,47138,47136,47161,47200,47183,47098,47122,47147,47229,47222,47224,47224,47282,47344,47366,47302,47225,47163,47111,47145,47285,47238,47238,47230,47234,47188,47111,47012,46861,46738,46687,46762,46917,46754,46699,46582,46603,46476,46370,46273,46222,46153,46283,46439,46535,46443,46367,46265,46122,46077,46045
전남,목포,238221,238408,238440,238639,238382,238276,238403,238450,238515,238426,238368,238206,237932,237849,237720,237807,237739,237464,236965,236496,236293,235956,235516,235349,235002,234822,234683,234499,234379,234072,233812,233631,233339,233125,233056,232979,232890,232842,232580,232503,232327,231890,231531,231236,230930,230763,230794,230534,230214,230039,230030,229914,229861,229744,229235,229009,228916,228587,228231
전남,무안,82050,82026,81980,82132,82236,82218,82111,82178,82136,82182,82121,82178,82192,82181,82229,82085,82109,82215,82244,82389,82409,82509,82544,82596,82559,82593,82539,82755,82872,82746,82598,82575,82498,82403,82292,82186,82174,82041,82083,82118,81991,82055,81881,81774,81808,81657,81488,81447,81301,81250,81201,81189,81105,81144,81322,81409,81412,81565,81620
전남,보성,45287,45257,45242,45214,45349,45280,45170,45054,45012,44949,44861,44828,44724,44639,44597,44492,44469,44390,44335,44259,44170,44135,44076,44051,43988,43902,43875,43869,43755,43693,43681,43648,43615,43624,43504,43383,43217,43139,43031,42910,42803,42714,42582,42427,42262,42235,42145,42047,41897,41748,41618,41540,41420,41398,41329,41232,41135,41016,40939
전남,순천,278684,278649,278982,279283,278765,278984,279212,279203,279298,279539,279435,279743,279908,279993,280003,279862,278548,279540,279997,280018,280189,280277,280233,280314,280342,280283,280208,280086,279331,280152,280198,280021,280181,279968,279977,280065,280526,280600,280854,280519,279389,280150,280393,280389,280361,280241,280646,280735,280886,281171,281534,281227,279598,281014,281347,281873,281349,280795,281054
전남,신안,43521,43452,43409,43356,43294,43245,43235,43214,43166,43169,43092,43037,43009,42874,42818,42692,42652,42566,42559,42530,42573,42500,42451,42397,42343,42274,42211,42145,42070,42054,41983,41994,42046,42069,41960,41862,41720,41628,41539,41400,41263,41151,41076,41033,41035,40936,40876,40859,40791,40698,40544,40399,40274,40156,40122,39906,39745,39642,39582
전남,여수,289954,290326,290336,290307,290168,289941,289821,289975,289989,290008,290774,290324,290053,289747,289564,289601,288988,288818,288429,288173,287969,287840,287607,287479,287250,287075,287059,287028,286382,286154,285858,285529,285447,285317,285158,284973,284545,284418,284166,283815,283300,283114,282813,282780,282946,283182,282869,282632,282357,282188,282058,282980,282786,282356,282062,281794,281604,281250,281121
전남,영광,56338,56325,56257,56303,56267,56246,56150,56146,56090,56007,55938,55911,55812,55774,55748,55670,55618,55563,55447,55358,55265,55230,55149,55128,55045,54963,54914,54817,54774,54763,54706,54796,54747,54660,54601,54541,54461,54377,54260,54164,54127,54091,54037,54060,54040,53988,53959,53958,53914,53911,53888,53855,53852,53835,53694,53625,53539,53512,53475
전남,영암,58524,58451,58381,58170,58137,58089,58012,58001,58003,57917,57865,57717,57638,57545,57399,57221,57045,56877,56607,56484,56462,56354,56310,56257,56214,56095,55974,55797,55616,55568,55459,55375,55308,55223,55158,55129,55003,54918,54846,54831,54731,54629,54472,54345,54287,54284,54178,54295,54535,54624,54623,54579,54593,54484,54383,54335,54229,54224,54266
전남,완도,53051,53071,53050,53017,53014,53015,52923,52895,52815,52831,52849,52807,52753,52741,52718,52708,52668,52599,52549,52510,52521,52464,52395,52372,52323,52275,52209,52152,52109,52060,51921,51961,51967,51941,51865,51827,51730,51639,51572,51532,51477,51406,51296,51237,51213,51175,51146,51096,51023,50892,50821,50738,50689,50630,50560,50431,50351,50245,50192
전남,장성,46098,46199,46157,46269,46360,46374,46317,46193,46218,46118,46048,46113,45989,46029,46003,46098,46104,46013,45991,45874,45907,45846,45825,45868,45811,45872,45938,45917,46111,46054,46124,46093,46155,46163,46007,45914,45800,45742,45675,45668,45795,45740,45692,45542,45631,45501,45676,45542,45466,45618,45537,45667,45739,45625,45595,45412,45325,45222,45203
전남,장흥,40985,40924,40883,41507,43513,42165,41584,41307,41149,40998,40884,40797,40689,40567,40465,40344,40669,40369,40220,40074,40063,39995,40008,39961,40024,40215,40256,40265,40136,39994,39893,39868,39848,39850,39697,39557,39456,39387,39377,39293,39312,39225,39091,39044,38967,38959,38896,38842,38780,38680,38680,38628,38563,38489,38400,38333,38225,38146,38071
전남,진도,32519,32474,32482,32460,32476,32471,32395,32357,32299,32231,32173,32179,32153,32118,32065,32067,32078,32053,32023,32013,32015,31993,31937,31896,31853,31859,31806,31779,31765,31710,31660,31648,31637,31634,31566,31479,31392,31302,31262,31262,31219,31147,31103,31117,31032,30966,30958,30921,30877,30825,30769,30744,30715,30685,30601,30564,30511,30494,30461
전남,함평,34918,34895,34823,34810,34876,34769,34727,34679,34673,34674,34615,34575,34567,34486,34468,34445,34397,34333,34291,34360,34469,34447,34401,34354,34309,34290,34279,34325,34328,34197,34134,34123,34128,34071,33973,33873,33756,33647,33550,33463,33420,33339,33233,33175,33107,33106,33050,33019,32989,32976,32940,32888,32861,32785,32735,32630,32519,32433,32360
전남,해남,76395,76299,76272,76195,76194,76104,75920,75776,75732,75697,75681,75644,75603,75525,75446,75259,75121,74950,74701,74558,74454,74369,74257,74142,73954,73841,73787,73721,73604,73358,73179,73017,72906,72834,72743,72568,72447,72365,72238,72049,71901,71675,71432,71371,71214,71152,71087,70936,70812,70676,70558,70500,70354,70212,70018,69804,69649,69588,69465
전남,화순,65925,65837,65756,65720,65848,65913,65947,65917,65898,65794,65731,65618,65461,65384,65326,65287,65303,65274,65185,65144,65139,65094,65015,64957,64879,64801,64759,64687,64680,64586,64515,64500,64492,64444,64274,64216,64147,64037,63924,64177,63933,63658,63607,63547,63499,63451,63297,63033,62896,62896,62806,62730,62737,62642,62529,62493,62510,62554,62654
전북,계,1869025,1869255,1869297,1869654,1869711,1868354,1867534,1866691,1866184,1865634,1865900,1865612,1865232,1864729,1864043,1864475,1864791,1863298,1861955,1860485,1859703,1858927,1857815,1856921,1855985,1855450,1854688,1853886,1854607,1851694,1849543,1848066,1847089,1846144,1844639,1843009,1841427,1840544,1839358,1838049,1836832,1834532,1832227,1830499,1829273,1827871,1826717,1825381,1823982,1822883,1821813,1820799,1818917,1817302,1815112,1812936,1811619,1810097,1808802
전북,고창,59512,59484,59373,59391,60046,59602,59375,59302,59343,59285,59767,59494,59232,59072,59052,59776,60597,59806,59287,58876,58735,58590,58490,58393,58291,58212,58174,58298,60472,59063,58534,58181,58008,57934,57758,57600,57422,57312,57205,57104,57041,56991,56801,56481,56407,56369,56258,56135,56009,55900,55839,55669,55504,55604,55425,55190,55021,54950,54858
전북,군산,278434,278505,278576,278517,278398,278338,278284,278332,278435,278399,278303,278184,278005,277998,277924,277821,277551,277328,276844,276623,276446,276221,276074,276013,275847,275654,275520,275320,274997,274788,274228,273919,273882,273853,273700,273498,273277,273146,272896,272798,272645,272518,272229,271955,271781,271612,271526,271279,271081,270880,270727,270503,270131,269779,269201,268766,268667,268558,268356
전북,김제,89150,89035,89022,88868,88721,88671,88615,88550,88502,88453,88347,88235,88113,87966,87871,87830,87782,87658,87665,87464,87453,87478,87417,87287,87220,87236,87175,87045,86926,86858,86648,86518,86421,86433,86235,86151,85956,85788,85697,85517,85331,85184,85024,84886,84734,84636,84591,84481,84355,84266,84113,84035,83895,83803,83595,83570,83391,83384,83327
전북,남원,85110,85098,85034,84994,84856,84771,84678,84660,84688,84707,84666,84622,84540,84505,84469,84393,84188,84140,84026,83948,83884,83787,83712,83621,83582,83545,83516,83396,83281,83233,83137,83016,82938,82905,82856,82724,82709,82694,82630,82632,82554,82505,82321,82153,82095,82008,81927,81898,81819,81756,81665,81528,81441,81439,81358,81257,81170,81067,81051
